Aircraft: Make/Model,Number of Bird Strikes
SA227 AC METRO III,25
SA227 DC METRO 23,2
SAAB 2000,1
SAAB-340,403
SABRLNR-65,1
SABRLNR-80A,1
SHORTS 330,7
SHORTS 360,19
SHORTS SC7,2
SIKORSKY S-70,1
SIKORSKY S-76,8
SIKORSKY S-92,2
SOCATA TB-10,1
SOCATA TB-20,2
SOCATA TB9,1
SOCATA TBM700,2
T-1A,1
T-38,4
T-38A,28
T-38N,1
VOLPARE BE18,1
